paper_id,material_id,property_id,property_type,mxene_composition,relevance_score,reasoning,title
2,1,1,Conductivity,Ti3C2Tx,1,"The extracted property information, specifically conductivity with a value of 353.77 S/m and MXene composition of Ti3C2Tx, is explicitly mentioned in both the abstract and conclusion, directly relating to the main research focus on MXene-BC composites for sensor applications. The text discusses measurements and applications related to this property, supporting its relevance to the research topic and findings.","Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception"
2,1,2,Young_Modulus,Ti3C2Tx,1,"The extracted property information, Young's Modulus with a value of 7.34 GPa, is explicitly mentioned in both the abstract and conclusion text, and it is directly related to the mechanical properties of the MXene-BC composites, which is a main focus of the research.","Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception"
2,1,3,Fracture_Stress,Ti3C2Tx,1,"The extracted property information, Fracture_Stress with a value of 41.09 MPa, is explicitly mentioned in both the abstract and conclusion, directly related to the mechanical properties of MXene-BC composites, which is a main focus of the research. The text discusses the measurement and application of this property, aligning with the extracted information.","Dual-modal flexible sensors based on flexible Ti3C2Tx (MXene)-bacterial cellulose composites for neural network-assisted pronunciations, shapes, and materials perception"
3,2,4,Capacitance,,1,"The extracted property information, capacitance of 1691.0 mF/cm^2, is explicitly mentioned in both the abstract and conclusion, directly relating to the research focus on energy storage materials for wearable supercapacitors. This property is a key measurement of the performance of the developed PANI MQDs GF composite fibers.",Polyaniline nanowires anchored on MXene quantum dots graphene composite fibers with 0D-1D-2D hierarchical structure for high-performance wearable supercapacitors
3,2,5,Energy_Density,,1,"The extracted property information, Energy_Density with a value of 214.4 μWh/cm^2, is explicitly mentioned in both the abstract and conclusion, directly relating to the research focus on enhancing energy storage performance of wearable supercapacitors. The text discusses the achievement of this energy density through the designed 0D-1D-2D hierarchical structure of the composite fibers.",Polyaniline nanowires anchored on MXene quantum dots graphene composite fibers with 0D-1D-2D hierarchical structure for high-performance wearable supercapacitors
3,2,6,Capacitance,,1,"The extracted property information, capacitance retention of 100% after 9500 cycles, is explicitly mentioned in the abstract, directly related to the research focus on supercapacitors, and supported by the experimental work described. This alignment between the extracted property and the text content justifies a relevance score of 1.",Polyaniline nanowires anchored on MXene quantum dots graphene composite fibers with 0D-1D-2D hierarchical structure for high-performance wearable supercapacitors
4,3,7,Capacitance,,1,"The extracted property information, capacitance of 500.0 F/g at 1 A/g, is explicitly mentioned in the abstract and aligns with the research focus on supercapacitors and their electrochemical properties. The text discusses the characterization and applications of CuCoTiO₂ MXene composites, which directly relates to the extracted property.",Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application
4,3,8,Energy_Density,,1,"The extracted property information, Energy_Density with a value of 19.6 Wh/kg at a specific power of 742.7 W/kg, is explicitly mentioned in both the abstract and conclusion, directly relating to the research focus on supercapacitor performance. The text discusses measurements and applications related to this property, supporting its relevance to the study.",Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application
4,3,9,Capacitance,,1,"The extracted property information is explicitly mentioned in the conclusion text, where it states that the CuCoTiO2 Mxene - 4 h electrode material exhibited a capacitance of 472 F g 1 at 5 mV s in aqueous 2 M KOH by CV analysis. This property is directly related to the main research focus on supercapacitors and their electrochemical properties.",Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application
4,3,10,Capacitance,,1,"The extracted property information is explicitly mentioned in the conclusion text, stating that the CuCoTiO2 Mxene - 2 h electrode material exhibited a capacitance of 400 F g 1 at 5 mV s in aqueous 2 M KOH by CV analysis. This property is directly related to the main research focus on supercapacitors and their electrochemical properties.",Construction of novel bifunctional electrocatalyst CuCoTiO2 Mxene for supercapacitor and sensor application
5,4,11,Capacitance,Ti3C2Tx,1,"The extracted property information is explicitly mentioned in the text, with the abstract stating that the ppy MXene 4-O-TEMPO (pMT) electrode achieves a specific capacitance of 530 F g^-1 at 1 A g^-1, directly matching the extracted property details. This property is directly related to the main research focus on enhancing the capacitance of MXene films through a dual-molecule synergistic strategy.",Dual-molecule enhanced MXene films for high specific capacitance in supercapacitors
